,Vehicle_model,Vehicle_Year,Vehicle_Rating,Review_Date,Author_Name,Vehicle_Name,Helpful_weight,Review_Title,Customer_Rating,Review
0,C30,2011,4.8, 06/12/2011,califas,T5 2dr Hatchback (2.5L 5cyl Turbo 6M),23 of 23 people found this review helpful,Great Driving Experience,4.88,"In evaluating a car, first you define the mission.
No car can be all things.
If you want a Corvette, you understand that it can't have the gas mileage of a Prius. 

This is the T5 C30 with 17 in wheels:

A small, nimble car with an appealing and distinctive aesthetic that coddles the driver with excellent ride dynamics and great interior design.
 
It is not trying to be a track car.
It is 2+2 GT road car.
It gets you through your driving day with a minimum of fatigue and a maximum of bliss.
It has the quickness and agility to squeeze through traffic, yet still has a cabin that is quiet and comfortable.
Plus, it feels like quality, it is nice to look at, and it is just fun to drive. "
1,C30,2011,4.8, 10/17/2010,Lauren,T5 2dr Hatchback (2.5L 5cyl Turbo 6M),14 of 14 people found this review helpful,Forget Mini check out Volvo,4.88,"I thought I loved my 2007 Mini S convertible, but 2 weeks after warranty ran out I had to pay $500 on maintenance after  I had just spent a $1000 replacing  my run flat tires, I decided to get out before I spent well more than that car was worth...I am so glad that I did. My 2011 C30 is refreshing and my passengers love the upgrade. It is the perfect car for me. I am in my early 30's married with no children, so I rarely have back seat passengers (a must for this car). This car so sophisticated with out being boring or stuffy. Fun, fast and fabulous, I don't understand why more people aren't in love... that's okay because I love having a car that makes a statement the individual. "
2,C30,2011,4.8, 09/30/2011,jersite,T5 2dr Hatchback (2.5L 5cyl Turbo 6M),11 of 11 people found this review helpful,Great Car!,4.75,"Have had my 2011 Volvo C30 for a little over a month now and overall, really love the car.
The styling is amazing, handling great, seats the most comfortable I've ever sat in (heated seats a huge bonus) and great fun to drive.
Other high points are bluetooth which works amazingly well, iPod integration, and great visibility.
Only drawbacks (and minor at best), huge, oversized key, so-so mileage and difficulty accessing rear seat.
All that said, I would recommend the C30 to everyone. "
3,C30,2011,4.8, 06/04/2010,Robert James G,T5 2dr Hatchback (2.5L 5cyl Turbo 6M),10 of 10 people found this review helpful,Get it for what it is: a premium hatch.,4.75,"I've read plenty of reviews stating how this car doesn't measure up to the GTI and Cooper S. I disagree. I used to have a 2008 Cooper S, and it spent months at the shop, had to sell it at a loss. Used to have a MazdaSpeed 3 - great car, but uncomfortable on city streets. The Volvo is a car made for the real world - I don't go to tracks every Saturday; this car ROCKS 95% of the time. It's not the last word on performance and handling, but it's the best mix of comfort and sporty driving I could find. And the exterior - it's just a work of art. I never thought I'd own a Volvo, but I'm happy I do now! "
4,C30,2011,4.8, 08/18/2011,rsoldier97,R-Design 2dr Hatchback (2.5L 5cyl Turbo 6M),10 of 10 people found this review helpful,HOT!! Volvo C30 R-Design,4.5,"I test drove several cars to include the Volkswagon GTI and Mazdaspeed 3.
I wanted something with a European feel when driving and this car nailed it.
The Car has more than ample horsepower.
Exterior Styling is a attention grabber.....Going to a new drive thru window always has the kids commenting on the car.
It really is a wonder why there is not many on the road, but it sure does get attention....Interior is a BIT BORING, but I spiced it up with amplifiers.
Kinda upset that door sills are not dressed up like other ""luxury"" brands.
If you want something with performance and not just a kiddie compact tuner cars this will get attention.
My first Volvo and I love it.
Hatch is small. "
5,C30,2011,4.8, 08/03/2011,jailhousemd,T5 2dr Hatchback (2.5L 5cyl Turbo 6M),6 of 6 people found this review helpful,Most refined tuner car.,4.88,"I realize that most people will not consider this a tuner car.
It seems to have all the features of a Mazdaspeed, GTI, etc.
This car is more comfortable than any other car that I have previously owned (GTI, Mazdaspeed, Civic Si).

Nice that I can use 87 octane gas.
MPG so far is a little better than 27 mpg/gallon combined.
I believe it still needs to be broken in.


Also, overall cost is really no different than a loaded GTI.
By the way, I have leather, sunroof, and 100K Maintenance plan.
I do believe that the Mazdaspeed is a little faster, but I am commuting not street racing. "
6,C30,2011,4.8, 10/26/2010,LMSTENT,R-Design 2dr Hatchback (2.5L 5cyl Turbo 6M),4 of 4 people found this review helpful,Nice daily driver,4.63,"Recently purchased the C30 with 6 speed manual to use as a daily driver. It has a very nice balance between handling and comfort with a bent toward the fun side. The acceleration is decent and the car is nice and solid. For such a small car, I feel safe (I guess typical Volvo) -- the doors are sturdy and the car is heavy for its class. The car is unique in appearance and is general a joy to drive (have put 2,000 miles on the car - so beyond the ""honeymoon"" period. Demerits include slight rattle from both windows when partially down and horrible whistling wind noise from the seatbelt outlets when fully open. Decent but not great Dynaudio sound; manual not up to par with other European cars. "
7,C30,2011,4.8, 09/14/2010,gitmogrunt,T5 2dr Hatchback (2.5L 5cyl Turbo 6M),3 of 3 people found this review helpful,Thumbs Up on  the C-30,5,"This  car is the first brand new Volvo I ever owned. I traded in  a used 2006 S-60 for the 2011 C-30 and we love it. It handles  very well, and has great response. It comes with a service package that can't be beat.  "
8,C30,2011,4.8, 12/30/2010,kandrew68,R-Design 2dr Hatchback (2.5L 5cyl Turbo 6M),3 of 3 people found this review helpful,Dare to Be different,4.5,"2011 C30 R-design auto. Drives sporty, has adequate power, very unique shape, interior is one of a kind, decent stereo, bluetooth works flawlessly, USB port picks up all music on USB drive. This car is a real roomy for its size.
With rear seats folded it has plenty of cargo room  more than a MINI or CRZ. Road noise is above average but somewhat expected with 18 in wheels/tire combo and a smaller car.  "
9,C30,2011,4.8, 06/28/2011,dccommuter,T5 2dr Hatchback (2.5L 5cyl Turbo 6M),3 of 3 people found this review helpful,Superb GT / Shooting Brake,4.88,"After the initial 2000 miles I am very pleased with this car. Excellent daily driver with very good performance. Actual gas mileage has exceeded expectations at 24 mpg around town and 31 mpg on a long highway trip. The distinctive looks draw a bit of attention.
Rides much more comfortably and looks much better than the GTI in my view. Everything simply works well. I'm particularly happy with the cabin ergonomics.
Have not had any wind noise issues as others reported. A refined and reasonably priced car given the free maintenance, especially now that end of year rebates are available.  "
